Source Account,Description,Identifier,Base Current Units,Base Market Value
337109137,VISA CL A ORD,92826C839,1136.00,134581.92
337109137,ZOETIS CL A ORD,98978V103,663.00,48524.97
337109137,ASML HOLDING ADR REP ORD,N07059210,289.00,53852.26
337109137,FERRARI ORD,NL0011585146,258.00,31617.90
337109137,BROADCOM ORD,Y09827109,155.00,37882.00
337109138,ALLSTATE ORD,020002101,468.00,42461.64
337109138,AMERICAN EXPRESS ORD,025816109,311.00,29451.70
337109138,AMERICAN INTERNATIONAL GROUP ORD,026874784,687.00,40952.07
337109138,ANDEAVOR ORD,03349M105,566.00,55258.58
337109138,ANTHEM ORD,036752103,180.00,41898.60
337109138,APPLE ORD,037833100,133.00,21640.43
337109138,ARCONIC ORD,03965L100,1235.00,30677.40
337109138,AVNET ORD,053807103,300.00,12090.00
337109138,BANK OF AMERICA ORD,060505104,6606.00,205578.72
337109138,BARRICK GOLD ORD,067901108,1384.00,18351.84
337109138,BERKSHIRE HATHWAY CL B ORD,084670702,835.00,166073.15
337109138,CBS CL B ORD,124857202,338.00,17968.08
337109138,CRH ADR REPSG 1 ORD,12626K203,714.00,24154.62
337109138,CVS HEALTH ORD,126650100,741.00,51773.67
337109138,CAPITAL ONE FINANCIAL ORD,14040H105,391.00,37219.29
337109138,CELANESE SR A ORD,150870103,301.00,30413.04
337109138,CEMEX ADR REP 10 PAR,151290889,2569.00,18959.22
337109138,CHEVRON ORD,166764100,963.00,109762.74
337109138,CISCO SYSTEMS ORD,17275R102,3040.00,123424.00
337109138,CITIGROUP ORD,172967424,2160.00,161481.60
337109138,CONOCOPHILLIPS ORD,20825C104,934.00,49884.94
337109138,CUMMINS ORD,231021106,213.00,35309.01
337109138,DXC TECHNOLOGY ORD,23355L106,588.00,57565.20
337109138,DELTA AIR LINES ORD,247361702,818.00,42576.90
337109138,DISCOVER FINANCIAL SERVICES ORD,254709108,646.00,49063.70
337109138,DOWDUPONT ORD,26078J100,577.00,41451.68
337109138,EQT ORD,26884L109,228.00,10891.56
337109138,EBAY ORD,278642103,885.00,37453.20
337109138,ENERGEN ORD,29265N108,477.00,24479.64
337109138,FMC ORD,302491303,208.00,17725.76
337109138,GILEAD SCIENCES ORD,375558103,718.00,57540.52
337109138,GOLDMAN SACHS GROUP ORD,38141G104,250.00,63290.00
337109138,HP ORD,40434L105,2236.00,45636.76
337109138,JOHNSON & JOHNSON ORD,478160104,975.00,127013.25
337109138,KEYCORP ORD,493267108,1423.00,29299.57
337109138,L3 TECHNOLOGIES ORD,502413107,135.00,27599.40
337109138,LLOYDS BANKING GROUP ADR 4 ORD,539439109,6153.00,23135.28
337109138,MARATHON PETROLEUM ORD,56585A102,733.00,47476.41
337109138,MCKESSON ORD,58155Q103,206.00,30698.12
337109138,MERCK & CO ORD,58933Y105,1319.00,73112.17
337109138,METHANEX ORD,59151K108,505.00,28128.50
337109138,NETAPP ORD,64110D104,500.00,28865.00
337109138,NUCOR ORD,670346105,249.00,15796.56
337109138,NUTRIEN ORD,67077M108,246.00,11205.30
337109138,ORACLE ORD,68389X105,1757.00,84599.55
337109138,PFIZER ORD,717081103,2878.00,99751.48
337109138,PHILLIPS 66 ORD,718546104,231.00,21619.29
337109138,REGIONS FINANCIAL ORD,7591EP100,2640.00,48760.80
337109138,SOUTHWEST AIRLINES ORD,844741108,512.00,29086.72
337109138,SPIRIT AEROSYSTEMS HLDGS A ORD,848574109,285.00,25504.65
337109138,STEEL DYNAMICS ORD,858119100,907.00,40561.04
337109138,SYNCHRONY FINANCIAL ORD,87165B103,713.00,25839.12
337109138,TD AMERITRADE HOLDING ORD,87236Y108,363.00,20121.09
337109138,TJX ORD,872540109,318.00,24075.78
337109138,TIME WARNER ORD,887317303,378.00,35384.58
337109138,TWENTY FIRST CENTURY FOX CL A ORD,90130A101,688.00,25043.20
337109138,UNITED TECHNOLOGIES ORD,913017109,453.00,57703.14
337109138,VERIZON COMMUNICATIONS ORD,92343V104,929.00,46552.19
337109138,WELLS FARGO ORD,949746101,1821.00,102886.50
337109138,WESTROCK ORD,96145D105,613.00,38784.51
337109138,COCA COLA EUROPEAN PARTNERS ORD,G25839104,670.00,25044.60
337109138,EATON ORD,G29183103,449.00,36826.98
337109138,EVEREST RE GROUP ORD,G3223R108,132.00,31611.36
337109138,LIBERTY LATIN AMERICA CL C ORD,G9001E128,528.00,11716.32
337109138,XL GROUP ORD,G98294104,843.00,35068.80
337109138,CHUBB ORD,H1467J104,350.00,50613.50
337109138,TE CONNECTIVITY ORD,H84989104,916.00,90409.20
337109138,FIAT CHRYSLER AUTOMOBILES ORD,N31738102,1301.00,28361.80
337109138,FLEX ORD,Y2573F102,1737.00,29563.74
337109141,ADT CORP,00101JAK2,14000.00,14805.00
337109141,AES CORP,00130HBN4,4000.00,4400.00
337109141,AES CORP,00130HBW4,17000.00,17255.00
337109141,AMC NETWORKS INC,00164VAE3,16000.00,15360.00
337109141,AECOM TECHNOLOGY CORP,00766TAD2,15000.00,15525.00
337109141,ALLY FINANCIAL INC,02005NAE0,27000.00,29160.00
337109141,AMERICAN AXLE & MANUFACTURING INC,02406PAL4,11000.00,11343.75
337109141,AMERIGAS PARTNERS LP,030981AJ3,14000.00,14105.00
337109141,AMSURG CORP,03232PAD0,12000.00,12225.00
337109141,ANTERO RESOURCES LLC,03674PAL7,14000.00,14100.66
337109141,ANTERO RESOURCES CORP,03674XAF3,15000.00,15187.50
337109141,ARAMARK,038522AK4,15000.00,15239.25
337109141,BALL CORP,058498AU0,15000.00,15281.25
337109141,BERRY PLASTICS CORP,085790AY9,15000.00,15300.00
337109141,BLUE CUBE SPINCO INC,095370AD4,14000.00,16555.00
337109141,BOYD GAMING CORP,103304BK6,14000.00,14752.50
337109141,CCO HOLDINGS LLC,1248EPBE2,14000.00,14272.72
337109141,OUTFRONT MEDIA CAPITAL LLC,12505FAD3,15000.00,14850.00
337109141,CDW LLC,12513GBA6,16000.00,16755.20
337109141,CF INDUSTRIES INC,12527GAC7,15000.00,14437.50
337109141,CNH CAPITAL LLC,12623EAF8,12000.00,11985.00
337109141,"CSC HOLDINGS, INC.",126304AK0,15000.00,15225.00
337109141,CSC HOLDINGS LLC,126307AF4,14000.00,14813.40
337109141,CENTENE CORP,15135BAD3,15000.00,15121.80
337109141,CENTURYLINK INC,156700BA3,16000.00,15620.00
337109141,CHEMOURS CO LLC,163851AB4,15000.00,15656.25
337109141,CLEAR CHANNEL WORLDWIDE HOLDINGS INC,18451QAM0,14000.00,14315.00
337109141,CONCHO RESOURCES INC,20605PAG6,15000.00,15450.00
337109141,CONSOL ENERGY INC,20854PAL3,15000.00,15004.80
337109141,CROWN AMERICAS LLC,228189AB2,15000.00,15112.50
337109141,DAVITA INC,23918KAP3,14000.00,14364.70
337109141,DAVITA HEALTHCARE PARTNERS INC,23918KAQ1,14000.00,13759.20
337109141,DIAMOND OFFSHORE DRILLING INC,25271CAP7,13000.00,13292.50
337109141,DIAMONDBACK ENERGY INC,25278XAH2,14000.00,14105.00
337109141,DISH DBS CORP,25470XAB1,13000.00,13711.10
337109141,EMC CORP,268648AN2,15000.00,13572.30
337109141,ENSCO PLC,29358QAD1,19000.00,13110.00
337109141,EQUINIX INC,29444UAP1,14000.00,14490.00
337109141,GOODYEAR TIRE & RUBBER CO,382550BG5,15000.00,14625.00
337109141,GRAPHIC PACKAGING INTERNATIONAL INC,38869PAK0,15000.00,15262.50
337109141,HCA INC,404119BM0,15000.00,15073.20
337109141,HCA INC,404121AG0,14000.00,14700.00
337109141,ISTAR FINANCIAL INC,45031UBU4,15000.00,14990.55
337109141,ISTAR INC,45031UBY6,15000.00,15225.00
337109141,ICAHN ENTERPRISES LP,451102AX5,15000.00,15262.50
337109141,INTERNATIONAL LEASE FINANCE CORP,459745GF6,12000.00,13613.40
337109141,IRON MOUNTAIN INC,46284PAP9,15000.00,14659.35
337109141,KENNEDY WILSON INC,489399AG0,15000.00,15112.50
337109141,LKQ CORP,501889AB5,14000.00,14210.00
337109141,LAMAR MEDIA CORP,513075BE0,15000.00,15187.50
337109141,LENNAR CORP,526057BT0,16000.00,16080.00
337109141,LENNAR CORP,526057BV5,14000.00,14035.00
337109141,LEUCADIA NATIONAL CORP,527288BE3,13000.00,13702.65
337109141,LEVEL 3 FINANCING INC,527298BH5,15000.00,14525.70
337109141,LEVEL 3 COMMUNICATIONS INC,52729NBX7,14000.00,14052.50
337109141,MGIC INVESTMENT CORP,552848AF0,27000.00,28012.50
337109141,MGM RESORTS INTERNATIONAL,552953BY6,13000.00,13841.10
337109141,"MPT OPERATING PARTNERSHIP, L.P",55342UAG9,14000.00,13715.66
337109141,MASCO CORP,574599BH8,10000.00,10979.30
337109141,MURPHY OIL CORP,626717AH5,13000.00,13552.50
337109141,NRG ENERGY INC,629377CA8,15000.00,15937.50
337109141,NRG YIELD OPERATING LLC,62943WAB5,17000.00,17127.50
337109141,NATIONSTAR MORTGAGE LLC,63860UAE0,15000.00,15070.50
337109141,NATIONSTAR MORTGAGE LLC,63860UAK6,13000.00,12967.50
337109141,NATIONSTAR MORTGAGE LLC,63860UAM2,14000.00,14000.00
337109141,OCEANEERING INTERNATIONAL INC,675232AA0,8000.00,7724.80
337109141,PRECISION DRILLING CORP,74022DAJ9,15000.00,14362.50
337109141,PULTEGROUP INC,745867AW1,14000.00,14507.50
337109141,RADIAN GROUP INC,750236AT8,8000.00,8760.00
337109141,RANGE RESOURCES CORP,75281AAS8,17000.00,15852.50
337109141,RITE AID CORP,767754CG7,15000.00,15220.50
337109141,ROWAN CO INC,779382AP5,31000.00,29217.50
337109141,ROYAL CARIBBEAN CRUISES LTD,780153AU6,14000.00,15095.22
337109141,SBA COMMUNICATIONS CORP,78388JAT3,10000.00,10143.80
337109141,SESI LLC,78412FAP9,15000.00,15337.50
337109141,NAVIENT CORP,78442FEJ3,13000.00,13812.50
337109141,NAVIENT CORP,78442FER5,9000.00,9101.25
337109141,SABINE PASS LIQUEFACTION LLC,785592AM8,14000.00,15099.00
337109141,SEAGATE HDD CAYMAN,81180WAL5,6000.00,5797.02
337109141,SERVICE CORPORATION INTERNATIONAL,817565CB8,8000.00,8200.00
337109141,SOUTHWESTERN ENERGY CO,845467AN9,14000.00,13930.00
337109141,SPRINGLEAF FINANCE CORP,85172FAJ8,13000.00,13971.10
337109141,SPRINT NEXTEL CORP,852061AM2,12000.00,14220.00
337109141,CALATLANTIC GROUP INC,85375CAX9,12000.00,12150.00
337109141,STARWOOD PROPERTY TRUST INC,85571BAG0,15000.00,15337.50
337109141,STEEL DYNAMICS INC,858119AZ3,11000.00,11165.00
337109141,SUMMIT MATERIALS LLC,86614RAG2,17000.00,17425.00
337109141,T-MOBILE USA INC,87264AAJ4,14000.00,14618.80
337109141,T-MOBILE USA INC,87264AAT2,16000.00,16440.00
337109141,TELEFLEX INC,879369AF3,17000.00,16650.99
337109141,TOLL BROTHERS FINANCE CORP,88947EAS9,14000.00,14105.00
337109141,TRANSOCEAN INC,893830AT6,16000.00,12880.00
337109141,TRIBUNE MEDIA CO,896047AH0,15000.00,15187.50
337109141,UNITED RENTALS (NORTH AMERICA) INC,911365BE3,14000.00,14674.80
337109141,VEREIT OPERATING PARTNERSHIP LP,92340LAA7,14000.00,14382.62
337109141,VERISIGN INC,92343EAF9,15000.00,15150.00
337109141,WESTERN DIGITAL CORP,958102AL9,13000.00,15158.00
337109141,TRI POINTE HOMES INC,962178AN9,14000.00,14542.50
337109141,ZAYO GROUP LLC,989194AM7,14000.00,14490.00
337109984,ACI WORLDWIDE ORD,004498101,435.00,9374.25
337109984,ADVANCED ENERGY INDUSTRIES ORD,007973100,183.00,11924.28
337109984,ARISTA NETWORKS ORD,040413106,127.00,36136.58
337109984,AUTOLIV ORD,052800109,116.00,16441.84
337109984,BANK OF OZARKS ORD,063904106,322.00,15784.44
337109984,BERRY GLOBAL GROUP ORD,08579W103,313.00,17152.40
337109984,BROADRIDGE FINANCIAL SOLUTIONS ORD,11133T103,259.00,24314.92
337109984,CSRA ORD,12650T104,740.00,29888.60
337109984,CABLE ONE ORD,12685J105,18.00,12198.60
337109984,CAMBREX ORD,132011107,159.00,8458.80
337109984,CHENIERE ENERGY ORD,16411R208,218.00,12306.10
337109984,CHINA LODGING GROUP ADR REPSTG 4 ORD,16949N109,194.00,27602.32
337109984,COPART ORD,217204106,502.00,21500.66
337109984,CRANE ORD,224399105,199.00,18005.52
337109984,DOLBY LABORATORIES CL A ORD,25659T107,285.00,17795.40
337109984,DOMINOS PIZZA ORD,25754A201,72.00,15254.64
337109984,DUNKIN' BRANDS GROUP ORD,265504100,260.00,15407.60
337109984,EAGLE MATERIALS ORD,26969P108,139.00,14360.09
337109984,ENTEGRIS ORD,29362U104,712.00,22143.20
337109984,EVERCORE CL A ORD,29977A105,128.00,12121.60
337109984,FORTINET ORD,34959E109,378.00,17569.44
337109984,GRACO ORD,384109104,260.00,10914.80
337109984,GRUBHUB ORD,400110102,300.00,26010.00
337109984,GUIDEWIRE SOFTWARE ORD,40171V100,163.00,12647.17
337109984,HAWAIIAN HOLDINGS ORD,419879101,242.00,9232.30
337109984,HILTON GRAND VACATIONS ORD,43283X105,349.00,15034.92
337109984,IAC INTERACTIVE ORD,44919P508,177.00,24840.18
337109984,ICU MEDICAL ORD,44930G107,78.00,17082.00
337109984,"IONIS PHARMACEUTICALS, INC.",462222100,288.00,13400.64
337109984,LIBERTY MEDIA FORMULA ONE SRS C ORD,531229854,367.00,12771.60
337109984,STARR PEAK EXPLORATION LTD.,535919401,259.00,7005.95
337109984,LITHIA MOTORS CL A ORD,536797103,96.00,11318.40
337109984,LIVE NATION ENTERTAINMENT ORD,538034109,548.00,23788.68
337109984,MEDIDATA SOLUTIONS ORD,58471A105,210.00,13120.80
337109984,MERCADOLIBRE ORD,58733R102,74.00,26155.30
337109984,MIDDLEBY ORD,596278101,129.00,17204.73
337109984,MOMENTA PHARMACEUTICALS ORD,60877T100,494.00,8052.20
337109984,NAVIENT ORD,63938C108,814.00,11037.84
337109984,NORDSON ORD,655663102,149.00,20399.59
337109984,NUTANIX CL A ORD,67059N108,606.00,19931.34
337109984,OLD DOMINION FREIGHT LINE ORD,679580100,177.00,23374.62
337109984,OWENS CORNIING ORD,690742101,128.00,10908.16
337109984,POWER INTEGRATIONS ORD,739276103,175.00,11033.75
337109984,PRESTIGE BRANDS HOLDINGS ORD,74112D101,148.00,5009.80
337109984,PULTEGROUP ORD,745867101,840.00,24511.20
337109984,RSP PERMIAN ORD,74978Q105,231.00,8073.45
337109984,REINSURANCE GROUP OF AMER ORD,759351604,159.00,23598.78
337109984,SUPERI ENER SVCS ORD,868157108,383.00,3255.50
337109984,SUPERNUS PHARMACEUTICALS ORD,868459108,374.00,14455.10
337109984,TERADATA ORD,88076W103,280.00,10060.40
337109984,TESARO ORD,881569107,49.00,2871.40
337109984,TOTAL SYSTEM SERVICES ORD,891906109,287.00,24119.48
337109984,TRACTOR SUPPLY ORD,892356106,234.00,15600.78
337109984,TRIMBLE ORD,896239100,573.00,22920.00
337109984,ULTIMATE SOFTWARE GROUP ORD,90385D107,45.00,10123.65
337109984,UNITED RENTAL ORD,911363109,173.00,28728.38
337109984,VAIL RESORTS ORD,91879Q109,62.00,13066.50
337109984,VEEVA SYSTEMS CL A ORD,922475108,263.00,14917.36
337109984,WAGEWORKS ORD,930427109,90.00,5004.00
337109984,WESTERN ALLIANCE ORD,957638109,307.00,17781.44
337109984,WYNDHAM WORLDWIDE ORD,98310W108,169.00,19656.39
337109984,ALKERMES ORD,G01767105,261.00,14448.96
337109984,AXALTA COATING SYSTEMS ORD,G0750C108,493.00,15085.80
337109984,ICON ORD,G4705A100,169.00,18513.95
337109987,AGILENT TECHNOLOGIES ORD,00846U101,620.00,42426.60
337109987,ALBEMARLE ORD,012653101,334.00,37271.06
337109987,ALEXANDRIA REAL ESTATE EQ REIT ORD,015271109,163.00,19410.04
337109987,BANKUNITED ORD,06652K103,591.00,23444.97
337109987,BLACK KNIGHT ORD,09215C105,195.00,9125.96
337109987,CIT GROUP ORD,125581801,430.00,21745.10
337109987,CARLISLE COMPANIES ORD,142339100,199.00,20867.14
337109987,CARTERS ORD,146229109,319.00,37935.48
337109987,COVANTA HOLDING ORD,22282E102,1223.00,18956.50
337109987,EAST WEST BANCORP ORD,27579R104,622.00,39963.50
337109987,EURONET WORLDWIDE ORD,298736109,502.00,40084.70
337109987,FIDELITY NATIONAL FINANCIAL ORD,31620R303,640.00,24243.20
337109987,FIRST REPUBLIC BANK ORD,33616C100,379.00,34326.03
337109987,HEXCEL ORD,428291108,729.00,47027.79
337109987,HOST HOTELS & RESORTS REIT ORD,44107P104,1234.00,23964.28
337109987,IDEX ORD,45167R104,263.00,34881.69
337109987,JACOBS ENGINEERING GROUP ORD,469814107,705.00,44478.45
337109987,JELD WEN HOLDING ORD,47580P103,304.00,11393.92
337109987,KEYSIGHT TECHNOLOGIES ORD,49338L103,1084.00,47728.52
337109987,MID AMERICA APT COMMUNITI REIT ORD,59522J103,453.00,39746.22
337109987,MOHAWK INDUSTRIES ORD,608190104,178.00,45309.90
337109987,PVH ORD,693656100,307.00,45061.46
337109987,PIONEER NATURAL RESOURCE ORD,723787107,192.00,32837.76
337109987,RELIANCE STEEL ORD,759509102,346.00,29472.28
337109987,ROPER TECHNOLOGIES ORD,776696106,85.00,22960.20
337109987,ROSS STORES ORD,778296103,608.00,47028.80
337109987,SEI INVESTMENTS ORD,784117103,638.00,45400.08
337109987,SNAP ON ORD,833034101,202.00,32168.50
337109987,GENPACT ORD,G3922B107,1118.00,36111.40
337133957,ABN AMRO GROUP UNSPNSRD 2 ADR 1 ORD,00373L102,1215.00,18419.40
337133957,ALLIANCE GLOB UNSPON ADR REP 50 ORD,01861B101,843.00,12505.91
337133957,ANHEUSER BUSCH ADR REP 1 ORD,03524A108,299.00,31155.80
337133957,ASHTEAD GROUP ADR,045055100,215.00,24241.25
337133957,ASSA ABLOY ADR,045387107,3711.00,39095.39
337133957,BB SEGURIDADE PAR SPON ADR REP ORD,05541J103,2495.00,23435.54
337133957,BHP BILLITON ADR REP 2 ORD,088606108,898.00,42026.40
337133957,BRITISH AMERICAN TOBACCO ADR REP ORD,110448107,715.00,44480.15
337133957,CANADIAN NATIONAL RAILWAY ORD,136375102,242.00,18600.12
337133957,CARLSBERG SPON ADR REPSTG CL B ORD,142795202,1372.00,31896.26
337133957,CIELO ADR,171778202,3407.00,25552.50
337133957,COMPAGNIE FINANCIERE RICHEMONT ADR,204319107,2521.00,22827.66
337133957,SANEAMEN SAO PAU ADR REP 1 ORD,20441A102,1421.00,14934.71
337133957,COMPASS GROUP PLC,20449X401,1592.00,33957.33
337133957,CONTINENTAL ADR REP ORD,210771200,540.00,30017.52
337133957,DBS GROUP HOLDINGS ADR REP 4 ORD,23304Y100,379.00,31589.65
337133957,DAIWA HOUSE INDUSTRY ADR REP ORD,234062206,1432.00,52752.02
337133957,DEUTSCHE POST ADR,25157Y202,354.00,15958.32
337133957,FERGUSON SPON ADR REP 0.1 ORD,31502A105,3640.00,26280.80
337133957,58.COM ADR REP 2 CL A ORD,31680Q104,187.00,13310.66
337133957,FRESENIUS SPONSORED ADR,35804M105,925.00,18012.53
337133957,ICICI BANK ADR REP 2 ORD,45104G104,2539.00,25923.19
337133957,KAO ADR,485537302,233.00,16819.11
337133957,KASIKORNBANK ADR REP 4 ORD,485785109,694.00,19997.61
337133957,KDDI ADR REP 0.5 ORD,48667L106,1336.00,16276.49
337133957,KOC HOLDINGS ADR,49989A109,502.00,11789.47
337133957,MAKITA ADR REP 1 ORD,560877300,992.00,45780.80
337133957,MICHELIN COMPAGNIE GEN ADR,59410T106,917.00,28289.45
337133957,MR PRICE GROUP ADR,62476L207,1205.00,27690.90
337133957,NORDEA BANK ADR,65557A206,1672.00,19462.08
337133957,NOVARTIS ADR REPSG 1 ORD,66987V109,510.00,42845.10
337133957,PT TLKMNK TBK ADR REP 100 SRS B ORD,715684106,863.00,25242.75
337133957,PING AN INSURANCE GROUP COMPANY ADR,72341E304,693.00,14386.68
337133957,PRUDENTIAL ADR REPSTG 2 ORD,74435K204,1180.00,58858.40
337133957,RED ELECTRICA CORPORACION ADR,756568101,2285.00,22701.48
337133957,RYANAIR HOLDINGS PUBLIC LIMITED COMPANY,783513203,230.00,26680.00
337133957,RYOHIN KEIKKU UNSPN ADR REP 0.20 ORD,78392U105,683.00,42894.45
337133957,SAFRAN ADR REP 0.25 ORD,786584102,735.00,19060.76
337133957,SAMPO ADR REP 1/2 CL A ORD,79588J102,1427.00,40523.95
337133957,SANLAM ADR REP 2 ORD,80104Q208,1842.00,27722.10
337133957,SAP ADR REP 1 ORD,803054204,447.00,45929.25
337133957,SHIRE ADS REP 3 ORD,82481R106,246.00,32538.42
337133957,SONY ADR REP 1 ORD,835699307,337.00,16266.99
337133957,STATOIL ADR REP 1 ORD,85771P102,1342.00,29430.06
337133957,SUMITOMO MIT ADR REP 1/5TH OF ORD,86562M209,4092.00,36418.80
337133957,SUNCOR ENERGY ORD,867224107,824.00,27496.88
337133957,TAIWAN SEMICONDUCTOR MNFTG ADR 5 ORD,874039100,1480.00,62944.40
337133957,TELENOR ASA ADR,87944W105,1071.00,23604.84
337133957,TENCENT HOLDINGS ADR REP 1 CL B ORD,88032Q109,973.00,52104.15
337133957,TOKYO ELECTRON ADR REP 2 ORD,889110102,633.00,27472.20
337133957,TURKCELL ILETISIM ADR REP 2.5 ORD,900111204,3478.00,35197.36
337133957,UNILEVER ADR REP 1 ORD,904767704,748.00,39920.76
337133957,VALEO ADR REP 1/2 ORD,919134304,1010.00,36471.10
337133957,VINCI ADR,927320101,1462.00,35998.83
337133957,WOLTERS KLUWER ADR,977874205,760.00,37101.68
337133957,AON CL A ORD,G0408V102,240.00,33590.40
337133957,ACCENTURE CL A ORD,G1151C101,288.00,44625.60
337133957,MEDTRONIC ORD,G5960L103,488.00,39157.12
337133957,YANDEX CL A ORD,N97284108,662.00,24163.00
337133958,BRCL BK IPTH S&P 500 VIX SH FTRS ETN,06746L422,434.00,20810.30
337133958,GUGGENHEIM CURRENCYSHARES EURO ETF,23130C108,85.00,10054.65
337133958,XTRACKERS MSCI EAFE HDGD EQY ETF,233051200,2145.00,65980.20
337133958,XTRACKERS MSCI JAP HDGD EQY ETF,233051507,342.00,14630.76
